"index","x.cono bico","x.cono insa","x.crem sp","x.irid prui","x.myrm depi","x.myrm mexi","x.myrm mimi","x.myrm nava","x.novo cock","x.phei dese","x.phei mili","x.phei sita","x.phei xero","x.pogo barb","x.pogo dese","x.pogo imbe","x.pogo mari","x.pogo pima","x.pogo rugo","x.sole sp","x.sole xylo"
"1977-11",0,1,0,2,0,4,9,0,5,3,0,8,30,0,7,0,1,0,3,0,10
"1977-14",4,15,0,7,0,7,9,0,3,2,0,3,14,0,10,0,0,0,0,0,42
"1977-2",2,3,0,1,0,2,2,0,1,3,0,8,17,0,20,0,0,0,1,0,42
"1977-22",1,6,0,4,0,4,6,0,5,1,0,33,36,1,11,0,0,2,2,0,15
"1978-11",0,7,0,4,0,3,11,0,5,3,0,12,24,1,3,0,0,0,3,0,0
"1978-14",2,9,0,6,9,8,5,0,2,2,0,3,12,0,3,0,0,0,0,0,0
"1978-2",0,6,0,1,0,2,7,0,3,5,0,2,7,0,19,0,0,0,1,0,0
"1978-22",0,1,0,1,1,4,7,0,5,6,0,11,15,2,3,0,0,3,3,0,0
"1979-11",0,7,0,0,0,0,0,0,0,0,0,32,30,0,15,0,0,0,0,0,0
"1979-14",0,11,0,1,0,0,0,0,0,0,0,7,20,0,17,0,0,0,0,0,0
"1979-2",2,29,0,15,0,0,0,0,0,0,0,13,14,0,28,0,0,0,0,0,0
"1979-22",0,13,0,5,0,0,0,0,0,0,0,18,29,0,5,0,0,1,0,0,0
"1980-11",0,7,0,11,0,0,0,0,0,0,0,23,36,0,14,0,0,0,0,0,26
"1980-14",0,19,0,15,0,0,0,0,0,0,0,5,24,0,11,0,0,0,0,0,45
"1980-2",9,10,0,5,0,0,0,0,0,0,0,5,18,0,21,0,0,0,0,0,28
"1980-22",0,18,0,14,0,0,5,0,0,0,0,8,26,0,10,0,0,0,0,0,38
"1981-11",1,6,0,9,0,0,2,0,0,0,0,16,29,0,6,0,0,0,0,0,14
"1981-14",3,3,0,17,0,0,4,0,0,0,0,2,19,0,4,0,0,0,0,0,26
"1981-2",5,6,0,9,0,0,1,0,0,0,0,8,16,0,17,0,0,0,0,0,29
"1981-22",0,8,0,4,0,0,2,0,0,0,0,8,14,0,5,0,0,0,0,0,22
