"year","x.cono bico","x.cono insa","x.crem sp","x.irid prui","x.myrm depi","x.myrm mexi","x.myrm mimi","x.myrm nava","x.novo cock","x.phei dese","x.phei mili","x.phei sita","x.phei xero","x.pogo barb","x.pogo dese","x.pogo imbe","x.pogo mari","x.pogo pima","x.pogo rugo","x.sole sp","x.sole xylo"
1977,2,6,0,4,0,4,6,0,4,2,0,13,24,0,12,0,0,0,2,0,27
1978,0,6,0,3,2,4,8,0,4,4,0,7,14,1,7,0,0,1,2,0,0
1979,0,15,0,5,0,0,0,0,0,0,0,18,23,0,16,0,0,0,0,0,0
1980,2,14,0,11,0,0,1,0,0,0,0,10,26,0,14,0,0,0,0,0,34
1981,2,6,0,10,0,0,2,0,0,0,0,8,20,0,8,0,0,0,0,0,23
1982,1,19,0,21,0,0,3,0,0,0,0,5,23,0,12,0,0,0,0,0,22
1983,1,2,0,1,0,1,1,0,0,2,2,5,22,0,11,0,0,0,0,0,7
1984,0,1,0,0,0,1,1,0,0,0,0,3,16,0,8,0,0,0,0,0,13
1985,0,1,0,0,0,0,1,0,1,1,0,3,10,0,2,0,0,0,0,0,15
1986,0,8,0,2,0,2,2,0,1,0,0,12,28,0,3,0,0,1,0,25,0
1988,1,7,0,1,0,2,2,0,0,0,0,2,19,0,0,1,0,0,0,11,25
1989,0,3,0,2,0,1,2,0,0,2,0,3,20,0,0,1,0,0,0,7,1
1990,1,11,0,1,1,2,2,0,0,3,0,4,27,0,3,0,0,0,0,8,9
1991,1,11,0,3,0,1,1,0,0,2,0,2,26,0,4,0,0,0,0,9,7
1992,4,9,0,4,1,1,2,0,0,0,0,3,15,0,2,0,0,0,0,6,8
1993,1,2,0,2,0,1,1,0,1,0,0,1,21,0,4,0,0,0,0,1,8
1994,0,0,0,1,0,1,0,0,0,0,0,2,14,0,2,0,0,0,0,0,3
1998,0,0,0,2,0,2,0,0,0,0,0,2,8,0,2,0,0,0,0,0,2
1999,2,8,0,7,0,2,2,0,1,0,0,7,9,0,2,1,0,0,0,1,4
2000,0,5,0,2,0,2,2,0,1,0,0,6,7,0,2,0,0,0,0,0,6
2001,1,6,0,1,0,1,1,0,2,0,0,6,8,0,4,0,0,0,0,1,6
2002,4,2,0,2,0,1,3,0,2,0,0,7,12,0,5,1,0,0,0,2,3
2003,2,1,0,2,0,2,2,0,2,0,0,4,13,0,2,0,0,0,0,0,3
2004,0,1,0,2,0,2,1,0,2,0,0,4,12,0,3,1,0,0,0,0,2
2005,0,0,0,4,0,1,1,0,2,0,0,2,13,0,4,1,0,0,0,0,1
2006,0,2,0,2,0,2,1,0,4,0,0,7,14,0,9,1,0,0,0,0,5
2007,0,0,0,3,0,2,1,0,3,0,0,3,16,0,16,0,0,0,0,0,4
2008,1,1,0,5,0,2,2,0,4,0,0,2,6,0,7,0,0,0,0,2,13
2009,1,0,0,2,0,2,1,1,5,1,0,2,3,0,8,0,0,0,0,2,5
