"year","season","acac cons","alli inca","ammo chen","apod undu","aris hamu","aris long","atri acan","bahi absi","boer cocc","bout erio","bray dens","cass bauh","comm erec","crot cory","dale nana","dale pogo","dich pulc","ephe trif","erag lehm","flou cern","guti saro","hapl spin","hapl tenu","hila muti","hoff dens","lyci ande","mimo acul","muhl port","pere nana","poly twee","port suff","pros glan","rume angu","seta macr","sida phys","sida proc","sola elea","spha laxa","spor cont","tali aura","tetr coul","tric cali","trid pulc","yucc elat","zinn gran","zinn pumi"
1983,"summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
1983,"winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,"summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
1984,"winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,"summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
1985,"winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
1986,"winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
1987,"winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"summer",1,0,0,0,0,0,1,39,0,0,0,17,0,0,0,0,0,1,0,0,113,0,0,0,9,0,0,0,1,0,29,0,0,0,0,12,17,0,0,53,2,0,0,0,0,0
1988,"winter",0,0,0,0,0,0,0,45,0,0,0,9,0,0,0,0,9,0,0,0,27,0,0,0,21,0,0,0,3,0,0,0,13,0,0,1,6,3,0,0,0,0,0,0,0,0
1989,"summer",25,0,4,1,4,1,0,60,0,0,0,61,0,11,10,0,0,0,9,0,48,15,10,0,9,0,0,16,2,0,42,0,0,0,0,6,23,1,3,44,1,4,477,0,9,0
1989,"winter",0,0,0,0,0,0,0,71,0,0,0,7,0,0,0,0,2,0,0,0,95,0,45,0,4,0,0,0,2,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0
1990,"summer",18,0,0,0,4,5,0,22,2,0,0,27,1,3,0,0,0,0,4,0,48,7,5,1,0,0,9,1,0,0,87,0,0,0,17,24,15,0,3,65,2,0,73,0,12,0
1990,"winter",7,0,0,0,3,2,0,2,0,0,0,44,0,10,0,0,0,0,7,0,55,15,5,0,5,0,0,16,0,0,0,0,8,0,0,23,0,1,1,0,0,1,580,0,5,0
1991,"summer",0,0,0,0,7,16,0,0,0,1,0,7,2,11,3,0,0,1,15,0,67,349,9,0,12,0,0,2,2,1,0,0,0,0,0,2,13,0,0,45,0,2,76,0,15,0
1991,"winter",1,0,0,0,6,6,0,10,2,0,0,8,0,12,0,0,1,2,14,0,96,21,8,0,0,0,1,5,2,0,0,0,16,0,0,8,9,1,0,0,0,0,152,0,0,0
1992,"summer",0,0,0,0,7,11,1,0,0,0,0,4,1,11,2,0,1,1,13,0,46,3,13,0,5,0,0,5,0,0,0,0,0,1,0,2,8,0,7,22,0,0,22,0,0,22
1992,"winter",3,0,0,0,5,9,0,7,2,1,0,2,0,8,0,0,0,0,20,0,54,16,11,0,6,3,0,0,2,0,0,0,8,0,0,4,12,0,0,0,0,0,36,0,16,0
1993,"summer",0,0,0,0,7,3,0,1,0,0,0,9,0,3,0,0,6,0,14,0,31,14,2,0,5,0,0,5,0,0,0,0,0,0,0,0,13,0,6,53,0,0,12,1,18,0
1993,"winter",5,0,2,0,0,15,0,6,0,0,0,3,0,4,0,0,2,0,13,0,62,35,42,0,0,0,0,1,3,0,0,0,12,0,0,0,7,2,5,0,0,1,29,1,1,17
1994,"summer",0,0,0,1,0,7,0,0,0,0,0,7,0,1,0,0,4,2,14,0,4,7,3,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,36,0,0,5,0,0,12
1994,"winter",2,0,0,0,0,11,0,2,0,0,0,4,0,4,0,0,6,0,11,0,21,16,6,0,0,0,1,6,3,0,0,0,12,0,0,3,2,1,5,0,0,0,12,0,0,21
1995,"summer",4,0,1,1,1,1,0,2,0,0,0,9,0,5,0,0,0,2,7,0,26,9,30,0,15,0,0,3,0,0,0,0,0,0,0,0,5,0,1,31,1,0,7,1,12,0
1995,"winter",2,0,0,0,0,6,0,1,0,0,0,6,0,3,0,0,4,0,9,0,102,12,36,0,1,0,0,1,3,0,0,0,17,0,0,1,1,0,0,0,0,0,3,0,17,0
1996,"summer",6,0,1,1,159,1,0,0,3,1,0,5,0,2,0,1,0,2,9,0,10,1,13,0,2,0,0,8,0,0,0,1,0,0,0,0,11,0,6,26,0,0,10,0,10,1
1996,"winter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
