"year","species"
1977,"myrm mexi"
1977,"myrm mimi"
1977,"irid prui"
1977,"pogo rugo"
1977,"sole xylo"
1977,"phei xero"
1977,"pogo dese"
1977,"novo cock"
1977,"phei sita"
1977,"cono insa"
1977,"phei dese"
1977,"pogo pima"
1977,"cono bico"
1977,"pogo mari"
1977,"phei mili"
1977,"unkn"
1977,"pogo barb"
1978,"myrm mimi"
1978,"pogo rugo"
1978,"phei sita"
1978,"phei xero"
1978,"irid prui"
1978,"pogo dese"
1978,"novo cock"
1978,"cono insa"
1978,"myrm mexi"
1978,"phei dese"
1978,"pogo pima"
1978,"phei sp"
1978,"phei mili"
1978,"pogo mari"
1978,"pogo barb"
1978,"myrm depi"
1978,"cono bico"
1978,"camp fest"
1979,"myrm mexi"
1979,"myrm mimi"
1979,"novo cock"
1979,"phei dese"
1979,"pogo rugo"
1979,"phei sita"
1979,"cono insa"
1979,"irid prui"
1979,"phei xero"
1979,"pogo dese"
1979,"pogo pima"
1979,"cono bico"
1979,"phei mili"
1979,"pogo mari"
1979,"pogo barb"
1979,"crem sp"
1980,"phei xero"
1980,"pogo dese"
1980,"sole xylo"
1980,"irid prui"
1980,"myrm mimi"
1980,"cono insa"
1980,"phei sita"
1980,"cono bico"
1981,"irid prui"
1981,"phei xero"
1981,"pogo dese"
1981,"sole xylo"
1981,"phei sita"
1981,"cono insa"
1981,"myrm mimi"
1981,"cono bico"
1982,"cono insa"
1982,"phei xero"
1982,"pogo dese"
1982,"irid prui"
1982,"sole xylo"
1982,"myrm mimi"
1982,"phei sita"
1982,"novo cock"
1982,"cono bico"
1982,"pogo rugo"
1982,"pogo pima"
1982,"myrm depi"
1982,"phei dese"
1982,"myrm mexi"
1982,"pogo mari"
1983,"phei sita"
1983,"phei xero"
1983,"pogo dese"
1983,"sole xylo"
1983,"myrm mimi"
1983,"irid prui"
1983,"cono insa"
1983,"myrm mexi"
1983,"cono bico"
1983,"phei dese"
1983,"pogo rugo"
1983,"pogo pima"
1983,"phei mili"
1983,"novo cock"
1983,"camp sp"
1983,"pogo barb"
1984,"phei xero"
1984,"sole xylo"
1984,"cono insa"
1984,"pogo dese"
1984,"novo cock"
1984,"myrm mexi"
1984,"phei sita"
1984,"irid prui"
1984,"cono bico"
1984,"phei dese"
1984,"phei mili"
1984,"myrm mimi"
1984,"myrm depi"
1985,"phei xero"
1985,"pogo dese"
1985,"sole xylo"
1985,"phei sita"
1985,"novo cock"
1985,"cono insa"
1985,"phei dese"
1985,"myrm mexi"
1985,"myrm mimi"
1985,"pogo rugo"
1985,"irid prui"
1985,"myrm depi"
1985,"unkn"
1985,"cono bico"
1985,"pogo pima"
1986,"cono bico"
1986,"pogo pima"
1986,"cono insa"
1986,"phei xero"
1986,"sole sp"
1986,"pogo dese"
1986,"phei sita"
1986,"myrm mimi"
1986,"phei yell"
1986,"phei dese"
1986,"irid prui"
1986,"myrm mexi"
1986,"novo cock"
1986,"pogo rugo"
1986,"pogo mari"
1986,"crem sp"
1986,"novo sp"
1986,"pogo barb"
1987,"cono insa"
1987,"irid prui"
1987,"phei sita"
1987,"phei xero"
1987,"sole xylo"
1987,"pogo dese"
1988,"phei xero"
1988,"sole xylo"
1988,"cono insa"
1988,"pogo mari"
1988,"irid prui"
1988,"pogo dese"
1988,"phei sita"
1988,"myrm mimi"
1988,"phei dese"
1988,"sole sp"
1988,"myrm mexi"
1988,"myrm depi"
1988,"cono bico"
1988,"novo cock"
1988,"pogo imbe"
1988,"crem sp"
1988,"unkn"
1989,"phei xero"
1989,"irid prui"
1989,"pogo mari"
1989,"sole xylo"
1989,"myrm mexi"
1989,"cono insa"
1989,"phei yell"
1989,"phei sita"
1989,"pogo dese"
1989,"myrm depi"
1989,"sole sp"
1989,"novo cock"
1989,"cono bico"
1989,"phei dese"
1989,"pogo imbe"
1989,"myrm mimi"
1989,"unkn"
1989,"crem sp"
1990,"phei xero"
1990,"sole xylo"
1990,"phei sita"
1990,"pogo mari"
1990,"sole sp"
1990,"irid prui"
1990,"cono insa"
1990,"myrm mexi"
1990,"novo cock"
1990,"phei dese"
1990,"myrm mimi"
1990,"pogo dese"
1990,"cono bico"
1990,"pogo rugo"
1990,"unkn"
1990,"pogo imbe"
1990,"myrm depi"
1990,"phei mili"
1990,"crem sp"
1991,"phei xero"
1991,"sole sp"
1991,"irid prui"
1991,"pogo mari"
1991,"phei sita"
1991,"cono insa"
1991,"myrm mexi"
1991,"phei dese"
1991,"pogo dese"
1991,"myrm mimi"
1991,"crem sp"
1991,"cono bico"
1991,"pogo rugo"
1991,"sole xylo"
1991,"phei mili"
1991,"pogo imbe"
1991,"novo cock"
1991,"phei yell"
1991,"myrm depi"
1992,"phei xero"
1992,"pogo mari"
1992,"phei sita"
1992,"cono bico"
1992,"myrm mexi"
1992,"cono insa"
1992,"myrm mimi"
1992,"sole sp"
1992,"irid prui"
1992,"pogo dese"
1992,"novo cock"
1992,"sole xylo"
1992,"phei dese"
1992,"myrm depi"
1992,"crem sp"
1993,"phei xero"
1993,"myrm mexi"
1993,"pogo dese"
1993,"irid prui"
1993,"sole xylo"
1993,"phei sita"
1993,"pogo mari"
1993,"novo cock"
1993,"cono bico"
1993,"cono insa"
1993,"myrm depi"
1993,"pogo pima"
1993,"myrm mimi"
1993,"phei dese"
1993,"sole sp"
1993,"crem sp"
1994,"pogo dese"
1994,"phei sita"
1994,"phei xero"
1994,"myrm mexi"
1994,"sole xylo"
1994,"irid prui"
1994,"sole sp"
1994,"cono insa"
1994,"pogo mari"
1994,"myrm depi"
1994,"cono bico"
1994,"pogo imbe"
1994,"novo cock"
1994,"myrm mimi"
1998,"phei sita"
1998,"myrm mexi"
1998,"phei xero"
1998,"irid prui"
1998,"sole sp"
1998,"sole xylo"
1998,"pogo dese"
1998,"myrm mimi"
1998,"novo cock"
1998,"cono bico"
1998,"cono insa"
1998,"pogo mari"
1998,"unkn"
1998,"pogo rugo"
1998,"pogo imbe"
1998,"myrm depi"
1999,"phei sita"
1999,"phei xero"
1999,"irid prui"
1999,"pogo dese"
1999,"cono insa"
1999,"pogo imbe"
1999,"novo cock"
1999,"myrm mimi"
1999,"myrm mexi"
1999,"sole xylo"
1999,"cono bico"
1999,"pogo mari"
1999,"myrm depi"
1999,"sole sp"
1999,"unkn"
1999,"myrm nava"
1999,"crem sp"
2000,"phei sita"
2000,"cono insa"
2000,"phei xero"
2000,"novo cock"
2000,"myrm mimi"
2000,"cono bico"
2000,"myrm mexi"
2000,"irid prui"
2000,"myrm depi"
2000,"pogo dese"
2000,"sole xylo"
2000,"sole sp"
2000,"phei dese"
2000,"phei mili"
2000,"pogo imbe"
2001,"phei xero"
2001,"phei sita"
2001,"novo cock"
2001,"myrm mexi"
2001,"sole sp"
2001,"sole xylo"
2001,"pogo dese"
2001,"cono insa"
2001,"myrm mimi"
2001,"pogo mari"
2001,"irid prui"
2001,"phei dese"
2001,"cono bico"
2001,"myrm depi"
2001,"crem sp"
2001,"pogo imbe"
2002,"phei xero"
2002,"sole sp"
2002,"phei sita"
2002,"myrm mexi"
2002,"myrm mimi"
2002,"novo cock"
2002,"myrm depi"
2002,"cono insa"
2002,"sole xylo"
2002,"irid prui"
2002,"pogo dese"
2002,"pogo imbe"
2002,"phei dese"
2002,"pogo mari"
2002,"cono bico"
2003,"pogo dese"
2003,"sole xylo"
2003,"phei xero"
2003,"phei sita"
2003,"sole sp"
2003,"irid prui"
2003,"novo cock"
2003,"myrm mexi"
2003,"crem sp"
2003,"cono bico"
2003,"cono insa"
2003,"myrm mimi"
2003,"phei dese"
2003,"myrm depi"
2003,"pogo imbe"
2004,"novo cock"
2004,"phei sita"
2004,"phei xero"
2004,"cono insa"
2004,"pogo dese"
2004,"pogo imbe"
2004,"myrm depi"
2004,"irid prui"
2004,"myrm mimi"
2004,"sole xylo"
2004,"myrm mexi"
2004,"pogo rugo"
2004,"sole sp"
2005,"novo cock"
2005,"sole xylo"
2005,"phei sita"
2005,"phei xero"
2005,"pogo dese"
2005,"myrm mexi"
2005,"myrm mimi"
2005,"irid prui"
2005,"pogo imbe"
2005,"myrm depi"
2005,"cono bico"
2005,"cono insa"
2005,"sole sp"
2006,"novo cock"
2006,"phei sita"
2006,"pogo dese"
2006,"phei xero"
2006,"pogo imbe"
2006,"sole xylo"
2006,"myrm mimi"
2006,"irid prui"
2006,"myrm mexi"
2006,"unkn"
2006,"cono insa"
2006,"sole sp"
2006,"cono bico"
2006,"myrm depi"
2007,"novo cock"
2007,"sole xylo"
2007,"irid prui"
2007,"phei sita"
2007,"pogo dese"
2007,"phei xero"
2007,"pogo mari"
2007,"sole sp"
2007,"cono insa"
2007,"cono bico"
2007,"myrm mexi"
2007,"pogo imbe"
2007,"myrm mimi"
2007,"myrm depi"
2007,"unkn"
2008,"cono insa"
2008,"novo cock"
2008,"sole xylo"
2008,"myrm mexi"
2008,"pogo dese"
2008,"irid prui"
2008,"phei xero"
2008,"pogo imbe"
2008,"cono bico"
2008,"sole sp"
2008,"phei sita"
2008,"myrm mimi"
2008,"myrm depi"
2008,"crem sp"
2008,"pogo rugo"
2009,"novo cock"
2009,"sole xylo"
2009,"phei xero"
2009,"cono insa"
2009,"cono bico"
2009,"phei sita"
2009,"sole sp"
2009,"pogo dese"
2009,"myrm mexi"
2009,"myrm mimi"
2009,"pogo imbe"
2009,"phei dese"
2009,"irid prui"
2009,"phei mili"
2009,"pogo rugo"
2009,"myrm depi"
2009,"myrm nava"
