year,camp fest,camp sp,cono bico,cono insa,crem sp,irid prui,myrm depi,myrm mexi,myrm mimi,myrm nava,novo cock,novo sp,phei dese,phei mili,phei sita,phei sp,phei xero,phei yell,pogo barb,pogo dese,pogo imbe,pogo mari,pogo pima,pogo rugo,sole sp,sole xylo
1977,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,1
1978,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA
1979,NA,NA,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,NA
1980,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1
1981,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1
1982,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,1
1983,NA,1,1,1,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,NA,1,1,NA,1
1984,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1
1985,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,1
1986,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA
1987,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1
1988,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
1989,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1
1990,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,1,1,1
1991,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1
1992,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1
1993,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,1,1
1994,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
1998,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,1,1
1999,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
2000,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1
2001,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
2002,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
2003,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1
2004,NA,NA,NA,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,1,1
2005,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1
2006,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1
2007,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1
2008,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,1,1
2009,NA,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,1
