index,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PP,RM,SH
1977-11,4,0,1,0,0,0,0,0,0,0,0,1,0,0
1977-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1977-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-11,1,0,2,0,0,0,0,0,0,0,0,1,0,0
1978-14,2,0,1,1,0,0,0,0,0,0,0,1,0,0
1978-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-22,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1979-11,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1979-14,3,0,3,0,0,0,0,0,0,0,0,0,0,0
1979-2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1979-22,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1980-11,0,1,3,0,0,0,0,0,1,0,0,0,0,0
1980-14,4,0,1,1,0,0,0,0,0,0,0,0,0,0
1980-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-22,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1981-11,3,0,0,0,0,0,0,0,1,0,0,2,0,0
1981-14,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1981-2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1981-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1982-11,5,0,3,1,0,0,0,0,0,0,0,1,0,0
1982-14,5,0,2,0,0,0,0,0,1,0,0,0,0,0
1982-2,1,1,1,1,0,1,0,1,0,0,0,0,0,0
1982-22,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1983-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-14,3,2,0,1,0,2,0,0,0,0,0,0,0,0
1983-2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1983-22,3,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-11,3,2,0,1,2,0,0,0,0,0,0,0,0,0
1984-14,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1984-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1984-22,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1985-11,2,0,0,0,0,1,0,1,0,0,0,0,0,0
1985-14,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1985-2,6,2,1,3,0,0,0,0,0,0,0,0,0,0
1985-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-11,5,1,0,1,0,0,0,0,0,0,0,0,0,0
1986-14,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1986-2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1986-22,3,0,1,0,0,0,0,0,0,0,0,1,0,0
1988-11,3,0,0,1,0,2,0,0,0,0,0,1,0,0
1988-14,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1988-2,1,2,0,1,0,1,0,0,0,0,0,0,0,0
1988-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0
