"index","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PM","PP","RM","SF","SH"
"1977-2",0,1,0,0.333333333333333,1,0,0,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0,0
"1977-11",0,3,0,1,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"1977-14",0,3.33333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0
"1977-22",0,3.33333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0
"1978-2",0,2,0,0.75,0.75,0,0,0,0.5,0.25,0,0.25,0,0,0
"1978-11",0,2.5,0,2,0,0,0.5,0,0,0,0,1,0,0,0
"1978-14",0,2.25,0,1,0.5,0,0,0,0,0,0,0.25,0,0,0
"1978-22",0,0.5,0,2.5,0,0,0,0,0,0.25,0,0,0,0,0
"1979-2",0,0.75,0,0.25,0.25,0,1.25,0,0,0.25,0,0.25,0,0,0
"1979-11",0,1.5,0,0.5,0,0.25,0.25,0,0,0,0,0.25,0,0,0
"1979-14",0,2,0,1.75,0.25,0.75,0.25,0,0,0,0,0,0,0,0
"1979-22",0,0.25,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0
"1980-2",0,1.25,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0
"1980-11",0,0.25,1,2,0.5,0,0.25,0,0,0.5,0,0.25,0,0,0
"1980-14",0,3.75,0,1.25,0.25,0,0,0,0,0,0,0,0,0,0
"1980-22",0,0.25,0,2.5,0,0,0,0,0,0.25,0,0,0,0,0
"1981-2",0,1,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0
"1981-11",0,3,0,0.2,0.6,0,0.4,0,0,0.2,0,0.8,0,0,0
"1981-14",0,2.4,0.4,0.6,0.6,0.2,0.2,0,0.2,0,0,0,0,0,0
"1981-22",0,0.2,0,1.8,0,0,0.4,0,0,0.2,0,0,0,0,0
"1982-2",0,2.5,1,0.75,1.5,0.25,0.5,0,0.5,0.5,0,0,0,0,0
"1982-11",0,4.75,0,3.5,0.5,0,0.25,0,0,0,0,0.75,0.25,0,0
"1982-14",0,4.75,0,1.25,0.25,1.5,0,0,0.25,0.5,0.25,0,0,0,0
"1982-22",0,1,0.25,5.25,0,0.25,0,0,0,1.25,0,0,0,0,0
"1983-2",0,1.25,0,1.5,1.25,0,0.75,0,0,0,0,0.25,0,0,0
"1983-11",0,3.25,1.25,1.5,0.5,0,0.25,0,0,1.25,0,0,0,0,0
"1983-14",0,2.25,2.25,0.75,0.75,0,1,0,0,0,0,0,0,0,0
"1983-22",0,2.25,0,2.25,0.75,0,0,0,0,0,0,0,0,0,0
"1984-2",0,0.5,0.5,0,0.75,0,0.25,0,0,0,0,0,0,0,0
"1984-11",0,2.5,1,0.25,0.75,0.5,0.25,0,0,0,0,0,0,0,0
"1984-14",0,1.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"1984-22",0,0,0,0.5,0,0.25,0,0,0,0,0,0.5,0,0,0
"1985-2",0,4,1.5,0.5,1,0,0.25,0,0,0,0,0,0,0,0
"1985-11",0,3.25,0.5,0,0,0,0.5,0,0.5,0,0,0.25,0.25,0,0
"1985-14",0,3.25,0,0,0.25,1.25,0,0,0,0,0,0,0,0,0
"1985-22",0,1.25,0,0.25,0.25,0,0,0,0.25,0,0,1,0,0,0
"1986-2",0,3.25,0.25,0.25,1.5,0,0,0,0,0,0,0,0,0,0
"1986-11",0,4,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0
"1986-14",0,5,0,0,1,0.75,0.25,0,0,0,0,0,0,0,0
"1986-22",0,1.5,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0
"1987-2",0,1.75,2,0.75,2,0.75,0.25,0,1.5,0,0.25,0.5,0,0,0
"1987-11",0,2.75,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0.25
"1987-14",0,4.5,0.25,0,0.5,0.75,0,0,0,0,0.5,0,0.5,0,0
"1987-22",0,2.5,0,1.5,0.75,0,0.5,0,0,0,0,0,0,0,0
"1988-2",0,1.25,1.75,0,1.25,0,0.5,0,1.25,0,0,0,0,0,0
"1988-11",0,3.5,0,0,0.25,0.25,0.75,0,0.5,0,0,1,0,0,0.25
"1988-14",0,3.25,0.25,0,1,0.25,0,0,0,0,0,0,0,0,0
"1988-22",0,1.5,0,1,0,0,0.75,0,0.25,0,0,0,0,0,0
"1989-2",0,0.5,2.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25
"1989-11",0,1.75,1,0,0,0,0.25,0,0,0,0,0.25,0.5,0,0
"1989-14",0,4,0.25,0,0.75,0,0.25,0,0.25,0,0,0,0,0,0
"1989-22",0,1.25,0,1.5,0,0,0,0,0.75,0,0,0,0,0,0
