"year","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PM","PP","RM","SF","SH"
"1978",0,17,2,18,2,1,1,0,1,1,0,2,0,0,0
"1979",0,8,1,8,1,1,3,0,0,0,0,1,0,0,0
"1980",0,11,4,14,1,1,2,0,0,1,0,1,0,0,0
"1981",0,14,3,10,2,0,2,0,1,1,0,1,0,0,0
"1982",0,27,4,17,4,4,3,0,1,4,0,2,0,0,0
"1983",0,17,7,12,6,0,4,0,0,2,0,2,0,0,0
"1984",0,16,4,2,4,2,2,0,0,0,0,1,0,0,0
"1985",0,24,7,4,4,2,2,0,1,0,0,2,0,0,0
"1986",0,21,4,4,4,2,0,0,0,0,0,0,0,0,0
"1987",0,22,8,6,6,3,2,0,3,0,1,2,2,0,0
"1988",0,18,8,4,4,2,3,0,3,0,0,2,0,0,1
"1989",0,20,6,2,2,0,3,0,2,0,0,1,2,0,1
"1990",0,24,9,2,1,0,2,0,0,0,0,0,0,0,0
"1991",0,23,4,1,1,1,4,0,0,1,0,3,1,0,0
"1992",0,16,6,2,1,1,1,0,0,1,0,8,1,0,0
"1993",0,14,2,1,1,1,0,0,0,2,0,2,0,0,0
"1994",0,14,1,1,0,1,0,0,0,0,0,2,0,0,0
"1995",0,27,1,0,0,2,1,0,0,4,0,15,0,0,0
"1996",0,23,6,0,0,0,4,2,0,8,1,11,0,0,0
"1997",0,38,12,1,4,0,13,8,0,6,5,16,0,0,0
"1998",0,26,5,1,2,0,6,8,0,0,0,16,0,0,0
"1999",0,12,4,0,2,0,2,3,0,0,0,5,0,0,0
"2000",0,18,6,0,1,0,7,23,0,0,0,22,0,0,0
"2001",0,27,4,0,0,0,11,22,1,2,0,28,0,0,0
"2002",0,13,13,0,2,0,2,19,2,0,0,23,0,0,0
"2003",0,18,11,0,2,1,13,28,2,2,0,28,0,0,0
"2004",0,10,6,0,0,0,3,15,0,0,0,27,0,0,0
"2005",0,11,11,0,0,0,4,23,1,0,0,46,0,0,0
"2006",0,9,4,0,0,0,0,12,0,0,0,43,0,0,0
"2007",0,21,19,0,1,1,12,64,1,2,1,71,1,3,5
"2008",1,22,20,3,2,0,7,14,0,3,1,23,0,2,0
"2009",0,14,11,2,1,0,1,7,0,0,0,16,0,0,0
"2010",0,12,1,0,0,0,1,1,0,0,0,32,0,0,0
"2011",0,11,1,0,0,0,0,0,0,0,0,45,0,0,0
"2012",0,39,2,0,0,0,2,4,2,1,0,88,0,0,0
"2013",0,30,4,0,0,0,0,3,0,0,0,58,0,0,0
"2014",1,33,6,0,0,0,3,3,0,0,0,72,0,0,0
