year,period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
1977,1,0,13,0,2,2,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
1978,13,0,17,2,19,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1979,24,0,7,1,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1980,36,0,10,5,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1981,47,0,17,4,10,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
1982,60,0,26,4,21,4,2,3,0,1,3,0,0,0,0,3,0,1,0,0,0,0
1983,70,0,16,5,5,4,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0
1984,80,0,17,6,1,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1985,91,0,24,7,4,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986,101,0,25,7,5,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1987,113,0,25,9,5,6,3,0,0,6,0,0,0,0,1,1,0,2,0,0,1,0
1988,124,0,18,8,4,5,0,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0
1989,136,0,17,4,3,4,1,2,0,1,0,0,0,0,0,1,2,2,0,0,2,0
1990,149,0,26,7,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1991,161,0,22,4,1,3,0,2,0,0,1,0,0,0,0,5,0,1,0,0,0,0
1992,173,0,19,7,2,1,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0
1993,185,0,15,1,1,1,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0
1994,197,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,210,0,29,2,0,0,0,1,0,0,3,0,1,0,0,18,0,0,0,0,0,0
1996,222,0,17,6,0,0,0,3,1,0,9,0,0,0,0,8,0,0,0,0,0,0
1997,233,0,41,16,1,1,0,10,9,0,7,0,0,0,7,24,0,0,0,0,0,0
1998,245,0,27,3,1,0,0,6,10,0,0,0,0,0,0,16,0,0,0,0,0,0
1999,256,0,22,8,1,1,0,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0
2000,266,0,14,5,0,0,0,6,28,0,0,0,0,0,0,32,0,0,0,0,0,0
2001,278,0,18,10,0,0,0,6,22,0,4,0,0,0,0,36,0,0,0,0,0,0
2002,290,0,14,15,0,1,0,2,25,2,1,0,2,0,0,36,0,0,0,0,0,0
2003,302,0,18,9,0,4,0,11,31,2,2,0,2,0,0,38,0,0,0,1,1,0
2004,314,0,14,8,0,0,1,3,19,0,0,0,1,0,0,24,0,0,0,0,0,0
2005,325,0,10,9,0,0,0,4,15,1,0,0,9,0,0,39,0,0,0,0,0,0
2006,338,0,14,7,0,0,0,0,17,0,1,0,0,0,0,61,0,0,0,0,0,0
2007,350,0,19,17,0,1,1,10,71,2,2,0,0,1,0,83,0,1,0,1,2,0
2008,363,0,20,19,1,1,0,4,6,0,2,0,0,0,0,11,0,0,0,2,0,0
2009,375,1,15,13,2,1,1,1,8,0,0,0,0,0,0,23,0,0,0,0,0,0
2010,386,0,11,0,0,0,0,2,2,0,0,0,0,0,0,18,0,0,0,0,0,0
2011,395,0,9,1,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0
2012,407,0,41,2,0,0,0,1,7,2,0,0,0,0,0,116,0,0,0,0,0,0
2013,418,0,31,3,0,0,0,0,3,0,1,0,0,0,0,62,0,0,0,0,0,0
2014,427,1,37,6,0,0,1,1,3,1,0,0,0,0,0,97,0,0,0,1,0,0
