"index","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"1977-2",0,2.83333333333333,0,0.333333333333333,1.16666666666667,0.5,0.666666666666667,0,0.5,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0,0,0
"1977-11",0,2.5,0,1.83333333333333,0.666666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"1977-14",0,3.16666666666667,0,0.666666666666667,0.5,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"1977-22",0,2.5,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"1978-2",0,3.16666666666667,0,0.75,0.75,0.25,0.666666666666667,0,0.583333333333333,0.5,0,0,0,0,0.166666666666667,0,0,0,0,0,0
"1978-11",0,3,0.0833333333333333,1.58333333333333,0.0833333333333333,0.166666666666667,0.333333333333333,0,0,0.0833333333333333,0,0,0,0,0.5,0,0,0,0,0,0
"1978-14",0,1.83333333333333,0,1,0.583333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0
"1978-22",0,0.583333333333333,0,1.58333333333333,0,0.333333333333333,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0
"1979-2",0,1.63636363636364,0,0.181818181818182,0.454545454545455,0.545454545454545,0.636363636363636,0,0.0909090909090909,0.181818181818182,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0,0,0
"1979-11",0,1.90909090909091,0.0909090909090909,0.454545454545455,0,0.272727272727273,0.363636363636364,0,0,0,0,0,0,0,0.272727272727273,0,0.0909090909090909,0,0,0,0
"1979-14",0,1.81818181818182,0,1.72727272727273,0.181818181818182,0.272727272727273,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0
"1979-22",0,1,0,1.36363636363636,0,0.181818181818182,0.181818181818182,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0
"1980-2",0,1.91666666666667,0.0833333333333333,0.333333333333333,0.25,0.583333333333333,0.416666666666667,0,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0.0833333333333333,0,0,0,0
"1980-11",0,1.16666666666667,0.333333333333333,1.25,0.25,0.25,0.25,0,0,0.416666666666667,0,0,0,0,0.166666666666667,0,0.0833333333333333,0,0,0,0
"1980-14",0,2.58333333333333,0,0.833333333333333,0.416666666666667,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980-22",0,0.166666666666667,0,1.83333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
"1981-2",0,1.83333333333333,0.333333333333333,1.5,0.333333333333333,0.333333333333333,0.333333333333333,0,0.583333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0
"1981-11",0,3,0,0.583333333333333,0.666666666666667,0.166666666666667,0.5,0,0,0.0833333333333333,0,0,0,0,0.5,0,0.0833333333333333,0,0,0,0
"1981-14",0,3.16666666666667,0.25,0.666666666666667,0.25,0.416666666666667,0.166666666666667,0,0.0833333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0
"1981-22",0,0.416666666666667,0,2.08333333333333,0,0.166666666666667,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"1982-2",0,1.4,1,1.8,1.1,0.3,0.4,0,1.2,0.3,0,0,0,0,0,0,0.5,0,0,0,0
"1982-11",0,4.7,0.1,2.3,0.7,0.2,0.5,0,0.1,0.2,0,0,0,0,0.4,0,0.5,0,0,0,0
"1982-14",0,5,0,0.9,0.1,1.7,0.1,0,0.3,0.2,0,0,0,0.1,0,0,0.3,0,0,0,0
"1982-22",0,1.3,0.1,4.1,0,0.2,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0
"1983-2",0,1.75,0.5,1.5,0.833333333333333,0,0.666666666666667,0,0.416666666666667,0.0833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0,0,0
"1983-11",0,3.66666666666667,0.916666666666667,1.91666666666667,0.416666666666667,0.25,0.416666666666667,0,0,0.666666666666667,0,0,0,0.25,0,0,0.416666666666667,0,0,0,0
"1983-14",0,2.91666666666667,1,0.833333333333333,0.416666666666667,0.416666666666667,0.583333333333333,0,0.416666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"1983-22",0,3.25,0,2.83333333333333,0.333333333333333,0,0.166666666666667,0,0,0.75,0,0,0,0,0,0,0.25,0,0,0,0
"1984-2",0,1,0.7,0.1,0.6,0.1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"1984-11",0,2.4,0.7,0.6,0.4,0.3,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"1984-14",0,1.7,0.7,0,0.3,0.8,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0
"1984-22",0,1.2,0,1.3,0,0.1,0.4,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0
"1985-2",0,4.63636363636364,1.27272727272727,0.363636363636364,0.636363636363636,0.545454545454545,0.363636363636364,0,0.454545454545455,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0
"1985-11",0,3.18181818181818,1,0.181818181818182,0,0.181818181818182,0.454545454545455,0,0.727272727272727,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0.454545454545455,0,0,0,0
"1985-14",0,2.81818181818182,0,0,0.272727272727273,1.36363636363636,0.545454545454545,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0
"1985-22",0,1.45454545454545,0,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0,0,0,0,0.545454545454545,0,0,0,0,0,0
"1986-2",0,3.5,0.6,0.4,1,0.1,0,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0
"1986-11",0,3.6,0.4,0.7,0.2,0.2,0.1,0,0.4,0,0,0,0,0.1,0.1,0,0.4,0,0,0,0
"1986-14",0,4.3,0,0,0.8,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986-22",0,2.3,0,0.5,0,0,0.2,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0
"1988-2",0,1.66666666666667,2,0.0833333333333333,0.666666666666667,0.333333333333333,0.583333333333333,0,1.58333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"1988-11",0,4.25,0.25,0,0.333333333333333,0.333333333333333,0.25,0,0.583333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0.583333333333333,0.0833333333333333,0.333333333333333,0,0,0.416666666666667,0
"1988-14",0,3,0.333333333333333,0,0.333333333333333,0.166666666666667,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0
"1988-22",0,2.33333333333333,0.0833333333333333,1.25,0.333333333333333,0,0.416666666666667,0,0.25,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"1989-2",0,0.166666666666667,2.08333333333333,0,0.166666666666667,0.416666666666667,0.416666666666667,0,0.75,0,0,0,0,0,0.166666666666667,0.0833333333333333,0.75,0,0,0.25,0
"1989-11",0,2.66666666666667,0.416666666666667,0,0,0.166666666666667,0.25,0,0.5,0,0,0,0,0,0.0833333333333333,0,1.16666666666667,0,0.166666666666667,0.333333333333333,0
"1989-14",0,3.5,0.5,0,0.25,0.25,0.0833333333333333,0,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0.416666666666667,0,0,0,0
"1989-22",0,1.83333333333333,0,1.58333333333333,0,0,0.333333333333333,0,0.5,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"1990-2",0,0.538461538461538,2.46153846153846,0,0.307692307692308,0,0.538461538461538,0,0.153846153846154,0,0,0,0,0,0.0769230769230769,0,0.153846153846154,0,0,0.0769230769230769,0
"1990-11",0,4.61538461538461,2.07692307692308,0,0,0.461538461538462,0.307692307692308,0,0.0769230769230769,0,0,0,0,0,0,0,0.0769230769230769,0,0.153846153846154,0,0
"1990-14",0,4.38461538461539,0.846153846153846,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0,0
