"year","amar palm","ambr arte","aris adsc","bahi bite","bail mult","boer inte","boer torr","bout aris","bout barb","cass lept","chen frem","chlo virg","crot pumi","dale brac","dith wisl","erag arid","erag cili","erio aber","erio lemm","erod cicu","euph exst","euph fend","euph micr","euph serp","euph serr","hapl grac","ipom cost","kall gran","mach tanr","moll cerv","moll vert","pani ariz","pani hirt","pani mili","pect papp","port parv","sals kali","sanv aber","sida spin","tide lanu","trag bert","tria port","verb ence"
1983,0,0,40,0,2,0,276,2575,0,0,33,0,0,0,0,0,0,1293,0,0,0,15,0,0,0,0,0,0,0,8,1,56,0,0,44,0,0,0,0,179,0,0,0
1984,0,0,1,0,78,0,18,221,0,0,0,0,0,0,0,0,0,22,0,0,0,37,0,0,0,0,0,0,0,312,2,10,0,0,43,0,0,0,0,41,0,0,0
1985,0,0,1,0,132,0,16,116,0,0,0,0,0,0,0,0,0,90,0,0,0,18,0,0,0,0,0,0,0,68,85,3,0,0,19,0,0,0,0,25,0,0,0
1986,0,0,7,0,194,0,166,313,0,0,0,0,0,0,0,0,0,110,0,0,0,255,0,0,0,0,0,0,0,81,798,35,0,0,245,0,0,0,0,62,0,0,0
1987,0,0,78,0,361,0,673,2312,0,0,0,0,0,0,0,0,0,228,0,0,0,2343,0,0,0,0,0,0,0,1533,1511,78,0,0,1930,0,0,0,0,227,0,0,0
1988,0,0,55,0,13,0,142,2322,0,0,1,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,14,2223,13,0,0,121,0,0,0,0,77,0,0,0
1989,168,1,2383,0,57,778,145,36376,1167,4,0,0,110,24,3,40,10,4,106,2,3,0,81,1066,139,16,0,16,0,515,83,0,113,4,740,2907,0,0,61,93,2,0,4
1990,175,0,4792,0,8,898,9,59403,679,4,0,0,59,35,0,2,0,7,2,0,0,0,34,281,25,0,0,14,0,37,4,133,189,0,459,420,0,1,7,81,0,7,1
1991,4,0,836,4,36,25,1,8694,1,0,9,0,1,6,0,0,0,175,0,0,0,0,0,10,5,7,0,0,6,0,0,6,5,25,42,7,0,0,11,19,0,0,0
1992,0,0,1,4,6,1,2,1,0,0,3,0,0,2,0,0,0,1395,0,0,0,0,0,1,0,3557,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1993,0,7,11,1,1,2,3,134,0,0,1,0,91,5,0,0,0,65,0,0,2,0,40,0,8,89,0,1,0,197,1,24,1,1,21,13,0,0,19,16,0,1,0
1994,0,1,2,0,0,0,6,10,0,0,0,0,0,1,0,0,0,31,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
1995,3,0,0,0,1,30,0,6,2,0,2,0,4,0,0,0,0,273,0,0,0,0,2,10,0,351,0,0,6,0,2,0,1,0,0,1,0,0,5,5,0,0,0
1996,2,5,0,2,0,201,1,463,427,0,0,0,3,6,0,0,0,0,0,0,0,0,3,123,0,0,0,0,1,0,0,2,23,0,13,0,0,0,3,18,0,0,0
1997,12,3,694,0,1,100,49,548,8,0,3,0,47,1,0,0,0,490,0,0,1,0,12,176,11,57,0,1,4,1,0,0,41,0,42,0,0,0,0,82,0,0,0
1998,5,4,3,0,0,183,93,12,24,0,1,0,5,22,0,0,0,333,0,0,0,0,1,14,1,3,0,1,0,2,3,29,0,1,10,0,0,0,1,31,0,0,0
1999,13,0,0,0,0,35,178,109,294,0,0,0,14,36,0,0,0,0,0,65,0,0,6,33,5,0,0,2,0,76,19,50,28,5,3,0,0,0,1,27,0,1,0
2000,1,0,155,0,0,47,0,371,442,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,12,11,2,0,0,0,0,0,6,0,0,0
2001,1,5,4,0,1,20,18,17,32,0,0,0,2,1,0,0,0,221,1,1,0,0,0,3,12,18,1,0,2,0,0,2,17,0,4,0,0,0,1,44,0,0,0
2002,263,5,111,0,0,130,93,242,1035,16,0,0,103,217,0,0,0,2,11,8,2,0,13,122,11,0,17,17,0,349,109,200,254,57,75,4,0,0,10,358,1,0,3
2004,144,0,72,0,1,152,138,69,1793,5,0,0,66,24,0,0,0,59,0,90,5,0,50,367,15,1,10,5,0,9,986,75,342,5,360,7,0,13,4,410,0,3,0
2005,32,3,281,0,0,479,106,899,1469,0,0,0,9,10,0,5,0,132,0,0,1,0,0,55,1,9,9,4,1,0,0,0,303,0,191,0,0,0,8,189,0,0,0
2006,94,0,284,0,0,258,149,359,601,9,0,1,54,28,0,2,6,0,11,1944,2,0,60,339,26,0,1,16,0,67,173,176,162,1,280,5,7,1,6,253,0,14,2
2007,118,11,709,0,0,384,166,1825,578,0,0,3,36,11,0,0,42,0,27,0,0,0,1,13,1,8,2,0,0,0,1,3,43,9,109,1,0,0,2,69,0,2,0
2008,791,0,2784,0,0,10,7,3750,337,78,0,1,447,58,0,224,7,0,0,0,0,0,0,0,2,0,2,5,0,4,0,617,392,113,0,0,0,0,14,147,0,0,0
2011,87,0,18,0,0,77,93,28,278,14,0,0,8,65,0,0,0,0,19,0,1,0,1,0,0,0,0,12,0,25,16,217,260,1,0,0,1,1,0,43,3,27,0
2014,2168,1,2585,0,0,67,34,6273,636,26,0,3,22,9,0,4,8,11,221,0,0,0,6,45,3,0,5,2,0,20,19,100,173,3,28,0,0,1,6,196,2,21,0
