"year","ambr arte","astr allo","astr nutt","bail mult","caly wrig","chae stev","chen frem","cryp cras","cryp micr","dale brac","desc pinn","dith wisl","eria diff","erig dive","erio aber","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","lapp redo","lepi lasi","lesq gord","lina bige","lupi conc","mala fend","micr lene","nama hisp","oeno prim","pani hirt","phac ariz","plag ariz","plan purs","sper echi","step exig","vulp octo"
1983,0,2,5,23,0,0,0,89,430,0,1358,0,3540,21,5920,6,1,108,266,3,0,3,1,0,0,450,2,0,0,0,131,0,0,68,5,0
1984,0,36,4,261,0,0,0,346,1079,0,612,0,30696,719,411,0,0,2,727,10,0,3,7,0,0,261,11,0,0,0,30,0,0,154,28,0
1985,0,15,2,415,0,4,0,179,400,0,568,0,5784,144,389,12,0,3,181,131,0,5,15,0,0,219,17,0,0,0,6,0,0,84,95,0
1986,0,2,15,553,0,26,0,52,228,0,130,0,1004,329,684,30,1,138,6,2036,0,8,14,0,0,49,10,0,0,0,6,0,6,198,33,0
1987,0,15,5,540,0,68,0,56,1089,0,490,0,2717,934,2976,126,1,37,244,9861,0,6,8,0,0,219,17,0,0,0,74,0,17,537,204,0
1988,0,2,15,15,0,118,0,6,288,0,75,0,1795,23,531,51,1,148,71,6339,0,1,4,0,0,58,8,0,0,0,5,0,12,261,95,0
1989,0,6,38,278,0,0,0,78,415,0,37,0,869,344,1014,229,0,0,0,36448,0,3,17,0,0,4,0,0,0,0,3,0,61,663,41,30
1990,0,4,4,52,0,0,0,0,0,0,0,1,0,1,3,101,0,0,0,37,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0
1991,0,3,17,46,1,3,24,7,41,0,26,2,277,60,221,5,0,0,68,434,0,0,2,0,15,61,7,1,19,0,33,3,11,220,27,56
1992,0,13,28,12,10,135,15,7,113,5,307,0,3113,99,6065,10,0,3,466,14617,1,18,11,0,84,103,20,0,2,0,35,0,58,409,192,293
1993,4,26,135,12,1,203,17,14,408,1,528,0,2095,84,1780,26,21,21,709,18706,5,109,14,0,100,107,27,0,0,0,20,0,272,624,144,2404
1994,8,0,13,4,48,431,5,9,428,0,169,4,867,4,224,111,0,8,19,402,4,40,1,0,0,1,20,0,0,0,4,0,56,35,108,1719
1995,5,13,519,7,124,221,38,26,1320,0,399,1,2253,27,635,155,0,65,755,827,43,104,33,0,83,1,33,15,25,0,222,28,117,848,129,2796
1997,11,3,571,12,0,693,8,79,375,0,122,0,474,1,1365,1014,1,86,59,725,190,18,212,29,20,7,71,0,24,0,271,5,181,188,26,300
1998,1,2,56,1,0,471,10,14,42,0,46,0,69,0,700,2219,0,37,7,18,200,0,60,16,21,1,67,0,2,0,6,5,50,74,3,124
1999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,58,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,11,629,4,0,493,246,72,193,0,192,0,151,25,9,1786,0,52,40,33,0,2,330,0,7,2,2,4,30,0,206,8,63,196,3,74
2002,4,0,0,0,0,337,0,0,0,0,0,0,1,4,512,669,98,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,1,3,1,0,117,0,3,0,0,160,0,24,0,63,3923,0,0,0,8,26,0,198,0,0,0,0,0,0,0,2,0,31,7,0,107
2004,0,6,126,1,0,254,0,3,24,0,130,0,11,1,213,4067,1,51,6,3,10,5,284,10,0,4,3,0,15,0,8,1,19,19,1,60
2005,0,14,401,0,2,1727,0,152,42,0,247,0,56,1,2264,3444,1,25,13,48,0,15,654,298,4,0,23,0,8,26,5,46,21,28,10,448
2006,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,1,231,1,0,3,0,14,2,2,8,0,8,0,3,2750,0,1,0,6,0,1,57,0,3,0,0,1,2,0,0,0,7,18,0,9
2008,0,0,111,3,0,29,0,10,4,0,143,2,9,12,15,1964,0,4,14,36,0,2,42,0,0,0,1,0,0,0,0,0,52,2,0,7
2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5,0,1853,0,0,185,0,4,6,0,153,1,23,0,0,839,0,95,7,0,55,14,310,56,6,1,1,0,11,0,179,1,12,45,0,1
2013,0,0,20,0,0,18,0,0,2,0,2,0,0,0,0,90,0,1,0,0,0,1,62,0,0,0,0,0,0,1,2,0,0,0,0,0
2014,0,0,424,0,0,305,0,0,4,0,214,0,34,0,0,175,0,78,5,0,1,38,163,73,3,2,0,0,7,0,209,0,5,17,0,1
