"","x.cono bico","x.cono insa","x.irid prui","x.myrm depi","x.myrm mexi","x.myrm mimi","x.novo cock","x.phei dese","x.phei mili","x.phei sita","x.phei xero","x.pogo dese","x.pogo imbe","x.pogo mari","x.pogo rugo","x.sole sp","x.sole xylo"
"1988",0,25,22,0,0,1,11,23,0,87,1031,42,0,26,3,875,550
"1989",0,9,42,6,0,3,33,20,0,163,112,5,1,32,0,475,883
"1990",2,12,0,0,0,0,14,31,0,192,465,4,2,46,0,620,355
"1991",0,38,8,2,0,0,20,24,9,52,396,12,0,77,2,760,842
"1992",24,21,15,0,0,0,3,0,0,21,1093,37,0,2,0,276,561
"1993",19,13,10,0,0,0,10,0,3,9,273,102,0,0,0,129,261
"1994",0,13,3,0,0,0,3,0,0,25,654,70,0,0,0,16,238
"1998",25,1,9,0,1,0,18,0,0,15,389,38,0,0,0,5,123
"1999",1,7,0,0,0,0,19,0,0,16,36,5,1,3,0,8,18
"2000",0,6,3,0,0,4,40,0,0,82,51,3,1,0,0,3,77
"2001",3,3,0,0,0,0,10,0,0,25,80,11,5,0,0,1,130
"2002",0,3,0,0,2,0,18,0,0,35,198,48,3,0,0,51,109
"2003",0,0,1,0,8,0,81,0,0,50,349,27,2,0,0,51,216
"2004",0,5,10,2,3,0,90,0,0,8,46,10,2,0,0,0,297
"2005",0,29,25,0,2,13,172,0,0,26,315,1,3,0,0,0,262
"2006",8,7,30,0,0,0,47,0,0,71,144,99,7,0,0,8,306
"2007",0,4,6,4,0,0,73,0,0,13,254,85,0,0,0,7,1090
"2008",8,2,20,0,0,0,119,0,0,30,389,98,0,0,0,10,2049
"2009",2,5,2,0,0,0,559,0,0,27,20,110,0,0,0,84,167
